Sviatoshynsko-Brovarska Line M1,Akademmistechko,Zhytomyrska,Sviatoshyn,Nyvky,Beresteiska,Shuliavska,Politekhnichnyi Instytut,Vokzalna,Universytet,Teatralna,Khreshchatyk,Arsenalna,Dnipro,Hidropark,Livoberezhna,Darnytsia,Chernihivska,Lisova
Akademmistechko,0,2.05,4.55,6.40,8.25,11.35,13.30,16.35,18.35,20.25,22.20,24.55,26.45,29.15,31.50,33.50,36.15,38.30
Zhytomyrska,2.30,0,2.30,4.15,6.00,9.10,11.05,14.10,16.10,18.00,19.55,22.30,24.20,26.50,29.25,31.25,33.50,36.05
Sviatoshyn,5.35,2.45,0,1.25,3.10,6.20,8.15,11.20,13.20,15.10,17.05,19.40,21.30,24.00,26.35,28.35,31.00,33.15
Nyvky,7.25,4.35,1.30,0,1.25,4.35,6.30,9.35,11.35,13.25,15.20,17.55,19.45,22.15,24.50,26.50,29.15,31.30
Beresteiska,9.15,6.25,3.20,1.30,0,2.50,4.45,7.50,9.50,11.40,13.35,16.10,18.00,20.30,23.05,25.05,27.30,29.45
Shuliavska,12.10,9.20,6.15,4.25,2.35,0,1.35,4.40,6.40,8.30,10.25,13.00,14.50,17.20,19.55,21.55,24.20,26.35
Politekhnichnyi Instytut,14.05,11.15,8.10,6.20,4.30,1.35,0,2.45,4.45,6.35,8.25,11.05,12.55,15.25,18.00,20.00,22.25,24.40
Vokzalna,17.00,14.10,11.05,9.15,7.25,4.30,2.35,0,1.35,3.25,5.20,7.55,9.45,12.15,14.50,16.50,19.15,21.30
Universytet,18.55,16.05,13.00,11.10,9.20,6.25,4.30,1.35,0,1.30,3.25,6.00,7.50,10.20,12.55,14.55,17.20,19.35
Teatralna,20.40,17.50,14.45,12.55,11.05,8.10,6.15,3.20,1.25,0,1.30,4.05,5.55,8.25,11.00,13.00,15.25,17.40
Khreshchatyk,22.30,19.40,16.35,14.45,12.55,10.00,8.05,5.10,3.15,1.25,0,2.10,4.00,6.30,9.05,11.05,13.30,15.45
Arsenalna,25.20,22.30,19.25,17.35,15.45,12.50,10.55,8.00,6.05,4.15,2.25,0,1.30,4.00,6.35,8.35,11.00,13.15
Dnipro,27.10,24.20,21.15,19.25,17.35,14.40,12.45,9.50,7.55,6.05,4.15,1.30,0,2.10,4.45,6.45,9.10,11.25
Hidropark,29.25,26.35,23.30,21.40,19.50,16.55,15.00,12.05,10.10,8.20,6.30,3.45,1.55,0,2.15,4.15,6.40,8.55
Livoberezhna,32.00,29.10,26.05,24.15,22.25,19.30,17.35,14.40,12.45,10.55,9.05,6.20,4.30,2.15,0,1.40,4.05,6.20
Darnytsia,34.00,31.10,28.05,26.15,24.25,21.30,19.35,16.40,14.45,12.55,11.05,8.20,6.30,4.15,1.40,0,2.05,4.20
Chernihivska,36.25,33.35,30.30,28.40,26.50,23.55,22.00,19.05,17.10,15.20,13.30,10.45,8.55,6.40,4.05,2.05,0,1.55
Lisova,38.30,35.40,32.35,30.45,28.55,26.00,24.05,21.10,19.15,17.25,15.35,12.50,11.00,8.45,6.10,4.10,1.45,0
