Obolonsko–Teremkivska Line M2,Heroiv Dnipra,Minska,Obolon,Pochaina,Tarasa Shevchenka,Kontraktova Ploshcha,Poshtova Ploshcha,Maidan Nezalezhnosti,Ploshcha Lva Tolstoho,Olimpiiska,Palats Ukrayina,Lybidska,Demiivska,Holosiivska,Vasylkivska,Vystavkovyi Tsentr,Ipodrom,Teremky
Heroiv Dnipra,0,2.05,3.40,6.55,9.15,10.55,12.55,14.35,16.25,18.15,20.05,22.20,24.00,26.30,29.20,31.40,33.30,35.45
Minska,2.05,0,1.20,4.35,6.55,8.35,10.35,12.15,14.05,15.55,17.45,20.00,21.40,24.10,27.00,29.20,31.10,33.25
Obolon,3.40,1.20,0,3.00,5.20,7.00,9.00,10.40,12.30,14.20,16.10,18.25,20.05,22.35,25.25,27.45,29.35,31.50
Pochaina,6.55,4.35,3.00,0,2.00,3.40,5.40,7.20,9.10,11.00,12.50,15.05,16.45,19.15,22.05,24.25,26.15,28.30
Tarasa Shevchenka,9.20,7.00,5.25,2.05,0,1.25,3.25,5.05,6.55,8.45,10.35,12.50,14.30,17.00,19.50,22.10,24.00,26.15
Kontraktova Ploshcha,11.00,8.40,7.05,3.45,1.20,0,1.45,3.25,5.15,7.05,8.55,11.10,12.50,15.20,18.10,20.30,22.20,24.35
Poshtova Ploshcha,22.45,10.25,8.5,5.30,3.05,1.30,0,1.20,3.10,5.00,6.50,9.05,10.45,13.15,16.05,18.25,20.15,22.30
Maidan Nezalezhnosti,14.20,12.00,10.25,7.05,4.40,3.05,1.15,0,1.35,3.25,5.15,7.30,9.10,11.40,14.30,16.50,18.40,20.55
Ploshcha Lva Tolstoho,16.05,13.45,12.10,8.50,6.25,4.50,3.00,1.30,0,1.30,3.20,5.35,6.75,9.45,12.35,14.55,16.45,19.00
Olimpiiska,17.55,15.35,14.00,10.40,8.15,6.40,4.50,3.20,1.30,0,1.25,3.40,5.20,7.50,10.40,13.00,14.50,17.05
Palats Ukrayina,19.45,17.25,15.50,12.30,10.05,8.30,6.40,5.10,3.20,1.25,0,1.45,3.25,5.55,8.45,11.05,12.55,15.10
Lybidska,22.10,19.50,18.15,14.55,12.30,10.55,9.05,7.35,5.45,3.50,1.55,0,1.25,3.55,6.45,9.05,10.55,13.10
Demiivska,23.50,21.30,19.55,16.35,14.10,12.35,10.45,9.15,7.25,5.30,3.35,1.25,0,2.10,5.00,7.20,9.10,11.25
Holosiivska,26.05,23.45,22.10,18.50,16.25,14.50,13.00,11.30,9.40,7.45,5.50,3.40,1.50,0,2.35,4.55,6.45,9.00
Vasylkivska,28.30,26.10,24.35,21.15,18.50,17.15,15.25,13.55,12.05,10.10,8.15,6.05,4.15,2.10,0,2.00,3.50,6.05
Vystavkovyi Tsentr,31.00,28.40,27.05,23.45,21.20,19.45,17.55,16.25,14.35,12.40,10.45,8.35,6.45,4.40,2.10,0,1.35,3.50
Ipodrom,33.00,30.40,29.05,25.45,23.20,21.45,19.55,18.25,16.35,14.40,12.45,10.35,8.45,6.40,4.10,1.40,0,1.55
Teremky,35.15,32.55,31.20,28.00,25.35,24.00,22.10,20.40,18.50,16.55,15.00,12.50,11.00,8.55,6.25,3.55,1.55,0
