Syretsko-Pecherska Line M3,Syrets,Dorohozhychi,Lukianivska,Zoloti Vorota,Palats Sportu,Klovska,Pecherska,Druzhby Narodiv,Vydubychi,Slavutych,Osokorky,Pozniaky,Kharkivska,Vyrlytsia,Boryspilska,Chervony Khutir
Syrets,0,2.05,5.30,10.25,12.20,14.35,16.50,18.50,21.40,26.35,28.15,31.15,34.20,36.35,38.40,41.00
Dorohozhychi,2.05,0,3.05,8.00,9.55,12.10,14.25,16.25,19.15,24.10,25.50,28.50,31.55,34.10,36.15,38.35
Lukianivska,5.25,3.00,0,4.30,6.25,8.40,10.55,12.55,15.45,20.40,22.20,25.20,28.25,30.40,32.45,35.05
Zoloti Vorota,9.50,7.25,4.00,0,1.25,3.40,5.55,7.55,10.45,15.40,17.20,20.20,23.25,25.40,27.45,30.05
Palats Sportu,11.45,9.20,5.55,1.25,0,1.45,4.00,6.00,8.50,13.45,15.25,18.25,21.30,23.45,25.50,28.10
Klovska,14.05,11.40,8.15,3.45,1.50,0,1.55,3.55,6.45,11.40,13.20,16.20,19.25,21.40,23.45,26.05
Pecherska,16.25,14.00,10.35,6.05,4.10,2.00,0,1.40,4.30,9.25,11.05,14.05,17.10,19.25,21.30,23.50
Druzhby Narodiv,18.25,16.00,12.35,8.05,6.10,4.00,1.40,0,2.25,7.20,9.00,12.00,15.05,17.20,19.25,21.45
Vydubychi,21.20,18.55,15.30,11.00,9.05,6.55,4.35,2.30,0,4.30,6.10,9.10,12.15,14.30,16.35,18.55
Slavutych,26.25,24.00,20.35,16.05,14.10,12.00,9.40,7.35,4.40,0,1.25,4.25,7.30,9.45,11.50,14.10
Osokorky,28.05,25.40,22.15,17.45,15.50,13.40,11.20,9.15,6.20,1.25,0,2.40,5.45,8.00,10.05,12.25
Pozniaky,30.55,28.30,25.05,20.35,18.40,16.30,14.10,12.05,9.10,4.15,2.30,0,2.40,4.55,7.00,9.20
Kharkivska,33.45,31.20,27.55,23.25,21.30,19.20,17.00,14.55,12.00,7.05,5.20,2.30,0,1.50,3.55,6.15
Vyrlytsia,35.50,33.25,30.00,25.30,23.35,21.25,19.05,17.00,14.05,9.10,7.25,4.35,1.45,0,1.50,4.10
Boryspilska,38.00,35.35,32.10,27.40,25.45,23.35,21.15,19.10,16.15,11.20,9.35,6.45,3.55,1.55,0,2.00
Chervony Khutir,40.30,38.05,34.40,30.10,28.15,26.05,23.45,21.40,18.45,13.50,12.05,9.15,6.25,4.25,2.10,0
